;From Mike Nolan, edited to remove extra entries and to add header
;wavelength (microns)   flux (W/m2/nm)  smoothing
 0.952   0.80321   0.02410  135.
 0.954   0.79591   0.02388  135.
 0.956   0.79195   0.02376  135.
 0.958   0.79107   0.02373  135.
 0.960   0.78997   0.02370  134.
 0.962   0.78690   0.02361  134.
 0.964   0.78288   0.02349  134.
 0.966   0.77948   0.02338  134.
 0.968   0.77701   0.02331  134.
 0.970   0.77457   0.02324  134.
 0.972   0.77130   0.02314  134.
 0.974   0.76746   0.02302  134.
 0.976   0.76388   0.02292  134.
 0.978   0.76104   0.02283  134.
 0.980   0.75877   0.02276  134.
 0.982   0.75641   0.02269  134.
 0.984   0.75333   0.02260  134.
 0.986   0.74952   0.02249  134.
 0.988   0.74566   0.02237  134.
 0.990   0.74260   0.02228  134.
 0.992   0.74049   0.02221  134.
 0.994   0.73867   0.02216  133.
 0.996   0.73633   0.02209  133.
 0.998   0.73289   0.02199  133.
 1.000   0.72776   0.02183  133.
 1.002   0.72091   0.02163  133.
 1.004   0.71423   0.02143  133.
 1.006   0.71057   0.02132  133.
 1.008   0.71027   0.02131  133.
 1.010   0.71062   0.02132  133.
 1.012   0.70920   0.02128  133.
 1.014   0.70584   0.02118  133.
 1.016   0.70163   0.02105  133.
 1.018   0.69775   0.02093  133.
 1.020   0.69500   0.02085  133.
 1.022   0.69346   0.02080  133.
 1.024   0.69238   0.02077  133.
 1.026   0.69067   0.02072  133.
 1.028   0.68774   0.02063  133.
 1.030   0.68376   0.02051  133.
 1.032   0.67936   0.02038  133.
 1.034   0.67531   0.02026  132.
 1.036   0.67203   0.02016  132.
 1.038   0.66946   0.02008  132.
 1.040   0.66714   0.02001  132.
 1.042   0.66464   0.01994  132.
 1.044   0.66193   0.01986  132.
 1.046   0.65944   0.01978  132.
 1.048   0.65748   0.01972  132.
 1.050   0.65579   0.01967  132.
 1.052   0.65382   0.01961  132.
 1.054   0.65121   0.01954  132.
 1.056   0.64788   0.01944  132.
 1.058   0.64418   0.01933  132.
 1.060   0.64085   0.01923  132.
 1.062   0.63807   0.01914  132.
 1.064   0.63508   0.01905  132.
 1.066   0.63126   0.01894  132.
 1.068   0.62718   0.01882  132.
 1.070   0.62403   0.01872  132.
 1.072   0.62219   0.01867  132.
 1.074   0.62098   0.01863  132.
 1.076   0.61941   0.01858  131.
 1.078   0.61686   0.01851  131.
 1.080   0.61348   0.01840  131.
 1.082   0.61008   0.01830  131.
 1.084   0.60725   0.01822  131.
 1.086   0.60476   0.01814  131.
 1.088   0.60184   0.01806  131.
 1.090   0.59771   0.01793  131.
 1.092   0.59242   0.01777  131.
 1.094   0.58731   0.01762  131.
 1.096   0.58417   0.01753  131.
 1.098   0.58339   0.01750  131.
 1.100   0.58388   0.01752  131.
 1.102   0.58467   0.01754  152.
 1.104   0.58461   0.01754  152.
 1.106   0.58382   0.01751  153.
 1.108   0.58226   0.01747  153.
 1.110   0.58002   0.01740  153.
 1.112   0.57752   0.01733  153.
 1.114   0.57515   0.01725  153.
 1.116   0.57278   0.01718  153.
 1.118   0.57017   0.01711  154.
 1.120   0.56742   0.01702  154.
 1.122   0.56455   0.01694  154.
 1.124   0.56130   0.01684  154.
 1.126   0.55797   0.01674  154.
 1.128   0.55525   0.01666  154.
 1.130   0.55328   0.01660  155.
 1.132   0.55162   0.01655  155.
 1.134   0.54974   0.01649  155.
 1.136   0.54721   0.01642  155.
 1.138   0.54417   0.01633  155.
 1.140   0.54156   0.01625  155.
 1.142   0.54020   0.01621  156.
 1.144   0.53997   0.01620  156.
 1.146   0.53996   0.01620  156.
 1.148   0.53928   0.01618  156.
 1.150   0.53781   0.01613  156.
 1.152   0.53595   0.01608  156.
 1.154   0.53378   0.01601  156.
 1.156   0.53084   0.01593  157.
 1.158   0.52699   0.01581  157.
 1.160   0.52312   0.01569  157.
 1.162   0.52033   0.01561  157.
